"respondent","q16_system_of_government","q38_valentines_plans"
738,"4. Significant changes","2. Yes, stay in"
739,"2. Some improvement",NA
740,"2. Some improvement",NA
741,"4. Significant changes","3. No, nothing special"
742,"4. Significant changes","2. Yes, stay in"
743,"3. Many improvements",NA
744,"3. Many improvements",NA
745,"2. Some improvement","3. No, nothing special"
746,"3. Many improvements","2. Yes, stay in"
747,"4. Significant changes","3. No, nothing special"
748,"2. Some improvement","2. Yes, stay in"
749,"3. Many improvements",NA
750,"3. Many improvements","9. Do not know / Refused"
751,"3. Many improvements","2. Yes, stay in"
752,"2. Some improvement","2. Yes, stay in"
753,"2. Some improvement","2. Yes, stay in"
754,"4. Significant changes",NA
755,"4. Significant changes","9. Do not know / Refused"
756,"1. No changes","1. Yes, go out"
757,"3. Many improvements",NA
758,"3. Many improvements","2. Yes, stay in"
759,"2. Some improvement","2. Yes, stay in"
760,"4. Significant changes","2. Yes, stay in"
761,"4. Significant changes","3. No, nothing special"
762,"2. Some improvement",NA
763,"3. Many improvements",NA
764,"3. Many improvements","3. No, nothing special"
765,"3. Many improvements","3. No, nothing special"
766,"4. Significant changes",NA
767,"2. Some improvement","3. No, nothing special"
768,"3. Many improvements",NA
769,"3. Many improvements",NA
770,"2. Some improvement","3. No, nothing special"
771,"4. Significant changes",NA
772,"4. Significant changes","2. Yes, stay in"
773,"2. Some improvement","1. Yes, go out"
774,"3. Many improvements","2. Yes, stay in"
775,"1. No changes","1. Yes, go out"
776,"2. Some improvement","9. Do not know / Refused"
777,"2. Some improvement","3. No, nothing special"
778,"2. Some improvement",NA
779,"4. Significant changes","3. No, nothing special"
780,"4. Significant changes","1. Yes, go out"
781,"1. No changes","3. No, nothing special"
782,"2. Some improvement",NA
783,"4. Significant changes","9. Do not know / Refused"
784,"2. Some improvement",NA
785,"4. Significant changes","2. Yes, stay in"
786,"3. Many improvements",NA
787,"1. No changes","2. Yes, stay in"
788,"2. Some improvement","3. No, nothing special"
789,"3. Many improvements","2. Yes, stay in"
790,"2. Some improvement","2. Yes, stay in"
791,"4. Significant changes","2. Yes, stay in"
792,"2. Some improvement",NA
793,"4. Significant changes",NA
794,"2. Some improvement","2. Yes, stay in"
795,"2. Some improvement","3. No, nothing special"
796,"3. Many improvements","2. Yes, stay in"
797,"2. Some improvement","3. No, nothing special"
798,"2. Some improvement",NA
799,"4. Significant changes","2. Yes, stay in"
800,"3. Many improvements",NA
801,"3. Many improvements","2. Yes, stay in"
802,"2. Some improvement",NA
803,"1. No changes","1. Yes, go out"
804,"2. Some improvement","3. No, nothing special"
805,"3. Many improvements","3. No, nothing special"
806,"3. Many improvements","2. Yes, stay in"
807,"3. Many improvements","2. Yes, stay in"
808,"2. Some improvement","2. Yes, stay in"
809,"4. Significant changes","2. Yes, stay in"
